event_idx,track_idx,label,muon_general_tracks_p,muon_general_tracks_pt,muon_general_tracks_ptErr,muon_general_tracks_chi2,muon_general_tracks_normalizedChi2,muon_general_tracks_etaErr,muon_general_tracks_phiErr,muon_general_tracks_dszErr,muon_general_tracks_dxyErr,muon_general_tracks_dzErr,muon_general_tracks_qoverpErr,muon_general_tracks_lambdaErr,muon_general_tracks_eta,muon_general_tracks_nPixelHits,muon_general_tracks_nTrkLays,muon_general_tracks_nFoundHits,muon_general_tracks_nLostHits,muon_general_tracks_impact3D,muon_general_tracks_impactSignificance,muon_general_tracks_chi2PerHit,muon_general_tracks_hitEfficiency,muon_general_tracks_sigmaPtOverPt,muon_general_tracks_relUncertaintyProduct,muon_general_tracks_sip2D,muon_general_tracks_sipZ,muon_general_tracks_dxyOverPt,muon_general_tracks_ptErrOverP,muon_general_tracks_dzOverDxy,muon_general_tracks_absEta,L1TkMu_nStubs,L1TkMu_nStubs_Endcap,L1TkMu_nStubs_Barrel,L1TkMu_stubQual_max,L1TkMu_stubMax_etaRegion,L1TkMu_stubMax_phiRegion,L1TkMu_stubMax_depthRegion,L1TkMu_hasMatch,L1TkMu_dR2min,L1TkMu_dPtNorm,L1TkMu_chi2Pt,L1TkMu_matchingScore,L1TkMu_nCompatible,L1TkMu_secondBest_dR2,is_low_pt
1,6,0,7.498192191e-01,3.704688847e-01,-1.488424897e+00,1.222358465e+00,-5.639471859e-02,-2.959402323e+00,-2.949855566e+00,-2.492846727e+00,-2.503751278e+00,-2.113574982e+00,-2.609658003e+00,-3.338201046e+00,-1.519898534e+00,6.000000000e+00,8.000000000e+00,1.200000000e+01,0.000000000e+00,8.233047128e-01,2.525286674e+00,1.431774199e-01,1.000000000e+00,-1.858875513e+00,-3.716655016e+00,1.372069120e-01,2.525283098e+00,-2.736914873e+00,-2.238182306e+00,2.778234005e+00,1.519898534e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.950651526e-01
1,7,0,6.815004945e-01,5.333216190e-01,-1.635969400e+00,2.507906437e+00,1.146178484e+00,-3.183043242e+00,-3.193992376e+00,-2.663576126e+00,-2.732114792e+00,-2.515455246e+00,-2.851515532e+00,-3.330953121e+00,-8.737459779e-01,4.000000000e+00,9.000000000e+00,1.400000000e+01,0.000000000e+00,-1.364353180e+00,1.833430052e+00,1.361778378e+00,1.000000000e+00,-2.169245720e+00,-4.330242634e+00,-1.589470655e-01,1.833407521e+00,-3.423465490e+00,-2.317398548e+00,2.208769083e+00,8.737459779e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.597316980e-01
1,8,1,6.314877272e-01,5.780017972e-01,-1.576903462e+00,1.279245615e+00,-1.521176100e-01,-3.226653337e+00,-3.223045349e+00,-2.531264544e+00,-2.560549974e+00,-2.477795839e+00,-2.786487818e+00,-3.280043364e+00,-5.065450072e-01,4.000000000e+00,1.000000000e+01,1.600000000e+01,0.000000000e+00,1.174868345e+00,3.065361261e+00,7.512590289e-02,1.000000000e+00,-2.154859543e+00,-4.301405907e+00,5.894595385e-01,3.065358877e+00,-2.549096346e+00,-2.208337307e+00,2.558640242e+00,5.065450072e-01,3.000000000e+00,0.000000000e+00,3.000000000e+00,3.000000000e+00,-1.000000000e+00,3.000000000e+00,1.000000000e+00,1.000000000e+00,-4.799500465e+00,-3.073259830e+00,-1.838408351e+00,-4.799157143e+00,1.000000000e+00,4.342942646e-07,9.191696644e-01
2,0,0,1.001072168e+00,3.420407474e-01,-1.583483100e+00,1.713233471e+00,1.691657007e-01,-2.786731243e+00,-2.777160406e+00,-2.272877455e+00,-2.261264801e+00,-1.613909364e+00,-2.930181742e+00,-3.444817305e+00,-2.198381424e+00,8.000000000e+00,1.200000000e+01,2.000000000e+01,1.000000000e+00,9.224011302e-01,2.075135469e+00,4.122036695e-01,9.523809552e-01,-1.925503612e+00,-3.851920605e+00,-1.422796398e-01,2.075127363e+00,-2.745423079e+00,-2.584404945e+00,2.864714384e+00,2.198381424e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,-8.790536784e-03,9.963299632e-01
2,1,0,9.580103755e-01,3.993910253e-01,-1.626879215e+00,1.583212137e+00,3.914431483e-02,-2.884022713e+00,-2.850886345e+00,-2.406087399e+00,-2.306999445e+00,-1.847547889e+00,-2.988198042e+00,-3.441771984e+00,-1.959759951e+00,6.000000000e+00,1.100000000e+01,2.000000000e+01,0.000000000e+00,1.259997249e+00,2.477577686e+00,2.821822464e-01,1.000000000e+00,-2.026242495e+00,-4.051976204e+00,-3.547415435e-01,2.477577209e+00,-3.060721159e+00,-2.584740877e+00,3.291629314e+00,1.959759951e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.931949377e-01
2,2,0,9.430379272e-01,3.482504487e-01,-1.671936512e+00,1.732563853e+00,2.412024140e-01,-2.817576885e+00,-2.780265331e+00,-2.357783318e+00,-2.249074221e+00,-1.763069391e+00,-2.968174934e+00,-3.411528349e+00,-2.046132803e+00,6.000000000e+00,1.100000000e+01,1.800000000e+01,0.000000000e+00,1.270686388e+00,2.398440361e+00,4.772914946e-01,1.000000000e+00,-2.020161867e+00,-4.040949345e+00,-4.627797753e-02,2.398437500e+00,-2.643488884e+00,-2.614815950e+00,2.930686951e+00,2.046132803e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,5.000000000e+00,3.000000000e+00,3.000000000e+00,1.000000000e+00,-4.819378376e+00,-2.045058727e+00,-4.193437472e-02,-4.815737247e+00,1.000000000e+00,4.342942646e-07,9.960909486e-01
2,3,0,8.140053749e-01,2.953229547e-01,-1.742125154e+00,1.451314807e+00,-6.719873101e-02,-2.811542511e+00,-2.803025246e+00,-2.289673328e+00,-2.275136709e+00,-1.771049619e+00,-2.856788397e+00,-3.329578161e+00,-1.863686800e+00,7.000000000e+00,1.100000000e+01,1.900000000e+01,0.000000000e+00,1.421624124e-01,1.842220664e+00,1.725613922e-01,1.000000000e+00,-2.037424564e+00,-4.075370312e+00,1.007262692e-01,1.842149258e+00,-2.469687223e+00,-2.555998087e+00,2.245501757e+00,1.863686800e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.976529479e-01
2,4,0,9.445272088e-01,4.767856300e-01,-1.528322339e+00,1.580327272e+00,1.179295480e-01,-3.240263939e+00,-3.227468491e+00,-2.363148689e+00,-2.411062241e+00,-1.895472884e+00,-2.949810982e+00,-3.706546068e+00,-1.739808440e+00,4.000000000e+00,1.000000000e+01,1.700000000e+01,1.000000000e+00,1.435837746e+00,2.613443613e+00,3.498784900e-01,9.444444180e-01,-2.005078554e+00,-4.006363869e+00,5.921428800e-01,2.613424063e+00,-2.295731068e+00,-2.472735167e+00,2.536919832e+00,1.739808440e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,5.000000000e+00,1.900000000e+01,3.000000000e+00,1.000000000e+00,-3.783612251e+00,-3.111330032e+00,-2.212795973e+00,-3.783278704e+00,1.000000000e+00,4.342942646e-07,9.820954800e-01
2,5,0,4.472255707e-01,3.731910288e-01,-1.656967878e+00,1.303974032e+00,-9.396548569e-02,-3.091985941e+00,-3.087166309e+00,-2.620707750e+00,-2.653042793e+00,-2.546701670e+00,-2.477728844e+00,-3.165920496e+00,6.006246209e-01,4.000000000e+00,9.000000000e+00,1.500000000e+01,0.000000000e+00,3.950493336e-01,2.744379282e+00,1.278830171e-01,1.000000000e+00,-2.030132055e+00,-4.055845261e+00,-6.262067705e-02,2.744378805e+00,-3.088517666e+00,-2.104157925e+00,2.913157940e+00,6.006246209e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.294934869e-01,9.949181080e-01
2,6,0,5.268332958e-01,4.112223983e-01,-1.678565264e+00,1.562167883e+00,7.080648094e-02,-3.113121271e+00,-3.134435654e+00,-2.615752220e+00,-2.690254688e+00,-2.500183105e+00,-2.617283344e+00,-3.228560448e+00,7.624255419e-01,4.000000000e+00,1.000000000e+01,1.800000000e+01,0.000000000e+00,3.953761756e-01,2.698010206e+00,3.068955243e-01,1.000000000e+00,-2.089755058e+00,-4.173907757e+00,2.549855709e-01,2.698007345e+00,-2.846399784e+00,-2.205349684e+00,2.633050919e+00,7.624255419e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.921916127e-01
